<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,1,29/06/20,00:01:00,1.1219300,1.1222000,1.1217600,1.1219000,7
EURUSD,1,29/06/20,00:02:00,1.1216700,1.1222000,1.1215700,1.1222000,16
EURUSD,1,29/06/20,00:03:00,1.1219000,1.1219000,1.1219000,1.1219000,1
EURUSD,1,29/06/20,00:04:00,1.1219200,1.1219800,1.1219200,1.1219800,2
EURUSD,1,29/06/20,00:05:00,1.1219700,1.1223000,1.1219700,1.1222000,5
EURUSD,1,29/06/20,00:06:00,1.1218500,1.1220000,1.1217700,1.1219100,77
EURUSD,1,29/06/20,00:07:00,1.1219100,1.1220000,1.1218500,1.1219900,30
EURUSD,1,29/06/20,00:08:00,1.1218500,1.1221000,1.1218500,1.1218500,29
EURUSD,1,29/06/20,00:09:00,1.1218500,1.1222000,1.1215600,1.1220600,35
EURUSD,1,29/06/20,00:10:00,1.1220300,1.1222000,1.1217300,1.1220000,32
EURUSD,1,29/06/20,00:11:00,1.1219800,1.1221100,1.1219000,1.1219000,34
EURUSD,1,29/06/20,00:12:00,1.1220700,1.1224000,1.1220000,1.1222400,28
EURUSD,1,29/06/20,00:13:00,1.1222400,1.1225200,1.1221200,1.1222000,17
EURUSD,1,29/06/20,00:14:00,1.1222800,1.1224100,1.1222000,1.1222800,25
EURUSD,1,29/06/20,00:15:00,1.1222800,1.1224100,1.1222800,1.1222800,8
EURUSD,1,29/06/20,00:16:00,1.1222800,1.1225000,1.1221800,1.1222100,26
EURUSD,1,29/06/20,00:17:00,1.1222800,1.1224200,1.1221800,1.1222800,28
EURUSD,1,29/06/20,00:18:00,1.1225000,1.1228000,1.1220600,1.1220600,112
EURUSD,1,29/06/20,00:20:00,1.1220600,1.1225200,1.1220600,1.1222900,45
EURUSD,1,29/06/20,00:21:00,1.1222900,1.1226300,1.1220600,1.1220700,138
EURUSD,1,29/06/20,00:22:00,1.1220700,1.1228100,1.1220600,1.1225900,201
